description,category,merchant_base
Cumparare BROKERAGE TRADEVILLE Cotroceni #14,Investments,Brokerage Tradeville
PMT POS ENGIE FACT Pipera RO,Utilities,ENGIE FACT
Cumparare OpenAI ChatGPT Bucuresti #4321,Subscriptions,OpenAI ChatGPT
UBER*TRIP Bucharest RO,Transport,UBER*TRIP
Plata cu cardul electrician apartament Cotroceni #4321,Housing,Electrician apartament
Plata POS frizerie elite Downtown 12345,Other,Frizerie Elite
PURCHASE Wendy's RO AUT:887412,Restaurants,Wendy's
Achizitie xtb invest Store 04 AUT:887412,Investments,XTB invest
Plata cu cardul SHOPMAGAZIN Branch 12 #001,Groceries,ShopMagazin
PMT YouTube Music Cotroceni AUT:887412,Subscriptions,YouTube Music
Plata cu cardul Carrefour Drumul Taberei #4321,Groceries,Carrefour
Cumparare Netflix Premium Downtown RO,Subscriptions,Netflix Premium
Cumparare Xbox Game Pass Floreasca #14,Entertainment,Xbox Game Pass
CORA Online,Groceries,Cora
POS BRINGO Bucharest #4321,Restaurants,Bringo
Optica Optiblu Mall #4321,Health,Optica Optiblu
PMT POS BOOTCAMP CODING Vitan RO,Education,Bootcamp Coding
PMT FRESCA Store 04 #001,Restaurants,Fresca
Plata POS Duolingo Super Oradea (RO),Subscriptions,Duolingo Super
PMT APASERV BRASOV Pipera #221,Utilities,ApaServ Brasov
PURCHASE PC Garage Pipera 12345,Other,PC Garage
PMT Engie GazNaturale Brasov (RO),Utilities,Engie GazNaturale
xbox game pass Branch 12 RO,Entertainment,Xbox Game Pass
Cumparare Facultatea de Informatica Brasov #001,Education,Facultatea de Informatica
PMT KARAOKE SING CITY Center AUT:887412,Entertainment,Karaoke Sing City
Plata POS RATA IPOTECA Iasi AUT:887412,Housing,Rata ipoteca
Cumparare TRANSFER IN LEI ROM RO,Transfer,Transfer in lei
Achizitie Shell Romania Store 04 12345,Transport,Shell Romania
Plata POS Parking Mall Pipera 12345,Transport,Parking Mall
BRD transfer extern Branch 12 RO,Transfer,BRD transfer extern
Achizitie iCloud Storage 200GB ROM #14,Subscriptions,iCloud Storage 200GB
Plata POS Bistro French Sibiu AUT:887412,Restaurants,Bistro French
PURCHASE asigurare calatorie allianz Park Lake (RO),Travel,Asigurare calatorie Allianz
Plata POS Aquapark Therme Promenada #4321,Entertainment,Aquapark Therme
POS Boromir Prod Cluj RID:34521,Groceries,Boromir Prod
Plata POS Boromir Prod Cotroceni RID:34521,Groceries,Boromir Prod
PURCHASE Distrigaz Sud Galati RID:34521,Utilities,Distrigaz Sud
POS Notion Family Galati #4321,Subscriptions,Notion Family
PMT POS Xbox Live Drumul Taberei,Entertainment,Xbox Live
Cumparare radet bucuresti Center #001,Utilities,Radet Bucuresti
Cumparare SALARIU LUNA MAI Floreasca,Salary,Salariu luna mai
PURCHASE Praktiker EU #001,Other,Praktiker
Plata POS rcs-rds Branch 12 12345,Utilities,RCS-RDS
PMT Anthropic API Timisoara #14,Subscriptions,Anthropic API
Asociatie locatari Oradea #14,Housing,Asociatie locatari
PURCHASE Apa Regnault Cotroceni AUT:887412,Utilities,Apa Regnault
PMT petrom Promenada #4321,Transport,Petrom
Cumparare Comision agentie imobiliara Online 12345,Housing,Comision agentie imobiliara
PMT POS schimb eur-ron bcr Bucharest AUT:887412,Transfer,Schimb EUR-RON BCR
Cumparare STRAVA PREMIUM Iasi 12345,Subscriptions,Strava Premium
PMT POS Anaida Restaurant Ploiesti RO,Restaurants,Anaida Restaurant
PURCHASE VIETNAM RESTAURANT Cluj (RO),Restaurants,Vietnam Restaurant
Plata POS CHARLES SCHWAB Center #4321,Investments,Charles Schwab
VIRAMENT SALARIU SRL Ploiesti #221,Salary,VIRAMENT SALARIU SRL
PURCHASE springtime RO #221,Restaurants,Springtime
Plata cu cardul Adobe Creative Cloud EU #14,Subscriptions,Adobe Creative Cloud
Plata cu cardul INTRETINERE Bucuresti #14,Housing,Intretinere
Plata cu cardul Asigurare apartament Pipera 12345,Housing,Asigurare apartament
Achizitie Mini Market Pipera Cotroceni RID:34521,Groceries,Mini Market Pipera
Plata cu cardul Wise FX RO #14,Transfer,Wise FX
Cumparare pharmacy 24/7 Cotroceni RO,Health,Pharmacy 24/7
POS Audible ROM RID:34521,Subscriptions,Audible
Plata cu cardul rebu bucuresti AFI Cotroceni AUT:887412,Utilities,REBU Bucuresti
Plata cu cardul Subway ROM #14,Restaurants,Subway
PMT ORANGE PREPAY Promenada AUT:887412,Utilities,Orange PrePay
PMT POS Asigurare casa Allianz Bucharest (RO),Housing,Asigurare casa Allianz
Hidroelectrica Promenada #14,Utilities,Hidroelectrica
Plata POS banca transilvania transfer Cotroceni #4321,Transfer,Banca Transilvania transfer
POS McDonald's Sun Plaza #4321,Restaurants,McDonald's
Achizitie ALIMENTARAXPRESS Aviatorilor 12345,Groceries,AlimentaraXpress
PMT GAZE NATURALE ROMANIA Online #14,Utilities,Gaze Naturale Romania
british airways ROM RO,Travel,British Airways
Plata POS eToro buy Iasi RO,Investments,eToro buy
PMT OBB AUSTRIA Promenada #4321,Transport,OBB Austria
PURCHASE P2P PAYMENT ANDREI Mall RO,Transfer,P2P payment Andrei
magazin mixt Ploiesti AUT:887412,Groceries,Magazin Mixt
Achizitie Carwash Express Brasov #4321,Transport,Carwash Express
JYSK MOBILIER Pipera AUT:887412,Other,JYSK mobilier
Plata POS Compensatie sport 7card Online RO,Salary,Compensatie sport 7card
PMT trader joe's Timisoara #14,Groceries,Trader Joe's
PURCHASE Brutaria Boromir Cotroceni #001,Groceries,Brutaria Boromir
Plata cu cardul Broker BT Capital Timisoara AUT:887412,Investments,Broker BT Capital
APA CLUJ RO #4321,Utilities,Apa Cluj
PURCHASE VATRA RESTAURANT Branch 12 12345,Restaurants,Vatra Restaurant
PURCHASE MADO PASTRY & COFFEE Baneasa #001,Restaurants,Mado Pastry & Coffee
PlayStation Network Online #221,Entertainment,PlayStation Network
PMT BRILLIANT.ORG Mall 12345,Education,Brilliant.org
Plata POS IKEA Bucuresti Galati #001,Other,IKEA Bucuresti
PMT POS TICHET FERIBOT Drumul Taberei AUT:887412,Travel,Tichet feribot
lensa.ro ROM RO,Health,Lensa.ro
PMT POS Tour ghidat Roma Pipera,Travel,Tour ghidat Roma
PMT Google Workspace RO #221,Subscriptions,Google Workspace
Plata cu cardul Plafar magazin Aviatorilor #221,Groceries,Plafar magazin
Plata POS Enel Energie Brasov (RO),Utilities,Enel Energie
Cumparare Cabinet Ortopedie Ploiesti #001,Health,Cabinet Ortopedie
POS FREENOW Pipera #221,Transport,FreeNow
Plata cu cardul BURSA DE STUDII Branch 12 #001,Education,Bursa de studii
PMT POS Pensiune Sibiel Ploiesti #4321,Travel,Pensiune Sibiel
POS Au Bon Pain AFI Cotroceni RID:34521,Restaurants,Au Bon Pain
Supeco Pipera,Groceries,Supeco
ratb Bucharest RO,Transport,RATB
PURCHASE brutaria paul Vitan #14,Groceries,Brutaria Paul
Achizitie factura gaze Oradea RID:34521,Utilities,Factura gaze
PMT DUNKIN' Branch 12 RO,Restaurants,Dunkin'
PURCHASE Asociatie Proprietari Bloc 5 Store 04 12345,Housing,Asociatie Proprietari Bloc 5
PURCHASE VIRAMENT BRD CATRE BCR Branch 12 AUT:887412,Transfer,Virament BRD catre BCR
PMT POS Orange Fix Iasi AUT:887412,Utilities,Orange Fix
Taxi Cobalcescu Online 12345,Transport,Taxi Cobalcescu
Cumparare Adobe Photoshop Online 12345,Subscriptions,Adobe Photoshop
PMT Salariu Net Iunie Park Lake #001,Salary,Salariu Net Iunie
Cumparare SERVICE AUTO PREMIUM Baneasa #221,Transport,Service Auto Premium
PMT Salubrizare Bucuresti Drumul Taberei AUT:887412,Utilities,Salubrizare Bucuresti
Cumparare BISTROTECA Online #001,Restaurants,Bistroteca
POS rezervare hotel brasov Online #221,Travel,Rezervare hotel Brasov
Achizitie OLX Imobiliare Branch 12 #001,Housing,OLX Imobiliare
PMT POS mega image shop&go Cluj,Groceries,Mega Image Shop&Go
Optica Quattro Mall Vitan #221,Health,Optica Quattro
ORANGE FIX Oradea 12345,Utilities,Orange Fix
PURCHASE INTRETINERE EU AUT:887412,Housing,Intretinere
PMT Pilon III pensie privata EU RID:34521,Investments,Pilon III pensie privata
PMT trading 212 invest Downtown #14,Investments,Trading 212 Invest
Plata cu cardul RENT JULY Branch 12 12345,Housing,RENT JULY
POS ETF SXR8 ROM,Investments,ETF SXR8
PMT POS Wok to Walk Pipera,Restaurants,Wok to Walk
PMT POS FIGMA PROFESSIONAL Pipera (RO),Subscriptions,Figma Professional
DISTRIGAZ SUD Bucharest #001,Utilities,Distrigaz Sud
ECO MARKET Branch 12 #221,Groceries,Eco Market
PMT Ryanair Sibiu #221,Travel,Ryanair
Achizitie Enel Energie Constanta AUT:887412,Utilities,Enel Energie
Plata cu cardul CARD CADOU EMAG ROM #4321,Other,Card cadou eMAG
PURCHASE dentist brilliant AFI Cotroceni RO,Health,Dentist Brilliant
POS carrefour.ro online Timisoara #14,Groceries,Carrefour.ro online
PURCHASE cafenea origo RO #14,Restaurants,Cafenea Origo
ING Home'Bank transfer Drumul Taberei AUT:887412,Transfer,ING Home'Bank transfer
Plata cu cardul Dominos Pizza Downtown 12345,Restaurants,Dominos Pizza
teatrul bulandra Mall Vitan #221,Entertainment,Teatrul Bulandra
Plata POS RENT JULY Mall Vitan RID:34521,Housing,RENT JULY
Cumparare Real estate REIT Baneasa RID:34521,Investments,Real estate REIT
PMT tazz Brasov #14,Restaurants,Tazz
Plata cu cardul BURGERFEST Galati (RO),Restaurants,BurgerFest
Achizitie Western Union transfer Downtown #14,Transfer,Western Union transfer
PMT DEUTSCHE BAHN Bucuresti #14,Transport,Deutsche Bahn
Plata POS BT CAPITAL INVEST Park Lake 12345,Investments,BT Capital Invest
Cumparare HOTEL CISMIGIU Baneasa,Travel,Hotel Cismigiu
PMT wizzair bilet Downtown #221,Travel,WizzAir Bilet
POS booking.com hotel Floreasca #221,Travel,Booking.com Hotel
PMT POS DigitalOcean Droplet AFI Cotroceni RID:34521,Subscriptions,DigitalOcean Droplet
PMT 1Password Iasi #221,Subscriptions,1Password
Cumparare lentile contact online Pipera #001,Health,Lentile contact Online
PURCHASE TFL OYSTER Park Lake 12345,Transport,TfL Oyster
POS Patiseria Simigerie RO #14,Groceries,Patiseria Simigerie
PURCHASE SHOPMAGAZIN Aviatorilor (RO),Groceries,ShopMagazin
Cumparare Synevo Labs Store 04 RID:34521,Health,Synevo Labs
Cumparare Taco Bell Bucharest (RO),Restaurants,Taco Bell
PURCHASE PENNY MARKET Online 12345,Groceries,Penny Market
Achizitie Spitalul Elias Floreasca #14,Health,Spitalul Elias
Cumparare HOTEL CARO Timisoara #221,Travel,Hotel Caro
Plata POS OnlyFans subscription Cotroceni (RO),Subscriptions,OnlyFans subscription
Cumparare TOUR GHIDAT ROMA Bucharest #221,Travel,Tour ghidat Roma
Cumparare MCD Promenada AUT:887412,Restaurants,McD
Plata cu cardul EDX MICROSOFT Mall #001,Education,edX Microsoft
POS Costa Coffee Bucuresti #221,Restaurants,Costa Coffee
PURCHASE VIRAMENT SALARIU NET Bucuresti,Salary,VIRAMENT SALARIU NET
PMT POS Frizerie Old School Center #001,Other,Frizerie Old School
POS auchan Drumul Taberei 12345,Groceries,Auchan
Cumparare Penny Market Drumul Taberei RO,Groceries,Penny Market
Orange Romania Bucharest RO,Utilities,Orange Romania
Achizitie Compensatie sport 7card Timisoara (RO),Salary,Compensatie sport 7card
OpenAI Plus Promenada #14,Subscriptions,OpenAI Plus
Plata POS HBO MAX Cluj 12345,Subscriptions,HBO Max
Achizitie Factura curent Vitan,Utilities,Factura curent
Achizitie TD Ameritrade Ploiesti 12345,Investments,TD Ameritrade
PURCHASE PUMA STORE Store 04 #14,Other,Puma store
Plata POS Bilet Master Cluj (RO),Entertainment,Bilet Master
Plata cu cardul Roviniete Online EU,Transport,Roviniete Online
PMT LIME SCOOTER Oradea AUT:887412,Transport,Lime Scooter
Plata POS plafar magazin Sun Plaza 12345,Groceries,Plafar magazin
Cumparare Concert Mihai Margineanu Downtown,Entertainment,Concert Mihai Margineanu
Achizitie GARANTIE CHIRIE Center 12345,Housing,Garantie chirie
Orange Romania Fixed Oradea (RO),Utilities,Orange Romania Fixed
PURCHASE Opera Bucuresti Online (RO),Entertainment,Opera Bucuresti
Achizitie LinkedIn Premium RO RID:34521,Subscriptions,LinkedIn Premium
PMT ADOBE CREATIVE CLOUD Online #4321,Subscriptions,Adobe Creative Cloud
Achizitie APASERV BRASOV AFI Cotroceni #221,Utilities,ApaServ Brasov
PMT TEMU ORDER Mall Vitan RO,Other,Temu order
PURCHASE PLAYSTATION NETWORK Online #221,Entertainment,PlayStation Network
PURCHASE transfer in eur Center #221,Transfer,Transfer in EUR
POS SEPA Credit Transfer Cluj AUT:887412,Transfer,SEPA Credit Transfer
PMT POS VEL PITAR Constanta #221,Groceries,Vel Pitar
PMT POS CINEMAX IULIUS MALL Store 04,Entertainment,Cinemax Iulius Mall
PURCHASE Tichet feribot Baneasa,Travel,Tichet feribot
Plata POS PHARMACY ROK Constanta (RO),Health,Pharmacy ROK
Achizitie Transfer ING to Revolut Store 04 AUT:887412,Transfer,Transfer ING to Revolut
Plata cu cardul MASSIMO DUTTI AFI Cotroceni RO,Other,Massimo Dutti
Plata POS TEATRUL MIC Drumul Taberei 12345,Entertainment,Teatrul Mic
Plata POS figma professional Park Lake #001,Subscriptions,Figma Professional
PMT POS colegiul mihai viteazul Galati #14,Education,Colegiul Mihai Viteazul
POS Asigurare casa Allianz Store 04 (RO),Housing,Asigurare casa Allianz
Achizitie DONATIE ONG Pipera #14,Other,Donatie ONG
PMT YOUTUBE MUSIC Sibiu (RO),Subscriptions,YouTube Music
POS etf voo Drumul Taberei,Investments,ETF VOO
Plata cu cardul CEZ Vanzare Center,Utilities,CEZ Vanzare
PMT POS Synevo Labs Promenada RO,Health,Synevo Labs
POS caffe del sud AFI Cotroceni RO,Restaurants,Caffe del Sud
POS Zara online Timisoara 12345,Other,Zara online
Cumparare VUELING RO (RO),Travel,Vueling
PMT POS MEGA BIO Cotroceni #001,Groceries,Mega Bio
POS Bolt Scooter Brasov,Transport,Bolt Scooter
PURCHASE GAZPROM Cluj #001,Transport,Gazprom
POS Auchan Drive Store 04,Groceries,Auchan Drive
PMT krispy kreme Cotroceni #001,Restaurants,Krispy Kreme
PMT POS Google Workspace Cluj (RO),Subscriptions,Google Workspace
Cumparare Adobe Creative Cloud Sun Plaza 12345,Subscriptions,Adobe Creative Cloud
PMT POS Manual Editura Niculescu RO 12345,Education,Manual Editura Niculescu
Cumparare Decathlon Center (RO),Other,Decathlon
Plata cu cardul Google Storage Bucuresti RO,Subscriptions,Google Storage
POS Annabella EU,Groceries,Annabella
PMT ASIGURARE CASA ALLIANZ Bucharest RID:34521,Housing,Asigurare casa Allianz
Cumparare fmi bucuresti Online 12345,Education,FMI Bucuresti
PMT Transfer in EUR Floreasca RO,Transfer,Transfer in EUR
RAJA CONSTANTA ROM AUT:887412,Utilities,Raja Constanta
Achizitie MEDLIFE Oradea AUT:887412,Health,MedLife
Plata cu cardul ETF VWCE ROM 12345,Investments,ETF VWCE
Plata POS Babbel subscription Downtown #14,Subscriptions,Babbel subscription
PMT POS Arby's Galati #14,Restaurants,Arby's
Plata cu cardul aquapark therme Pipera (RO),Entertainment,Aquapark Therme
PMT POS ENGIE ROMANIA Galati #14,Utilities,Engie Romania
Plata POS Vanguard ETF ROM #14,Investments,Vanguard ETF
Cumparare TFL OYSTER Oradea #221,Transport,TfL Oyster
PMT POS EVERNOTE PERSONAL Center,Subscriptions,Evernote Personal
Plata cu cardul CABINET DERMATOLOGIE Aviatorilor 12345,Health,Cabinet Dermatologie
OpenAI ChatGPT Online,Subscriptions,OpenAI ChatGPT
Plata cu cardul Regina Maria Store 04 (RO),Health,Regina Maria
POS TAROM Center,Travel,TAROM
Cumparare LinkedIn Learning Baneasa RID:34521,Education,LinkedIn Learning
PURCHASE CARTE TEHNICA ONLINE Downtown 12345,Education,Carte tehnica online
STOCK PURCHASE AAPL Sun Plaza AUT:887412,Investments,Stock purchase AAPL
Plata POS Inchiriere masina Sixt ROM AUT:887412,Travel,Inchiriere masina Sixt
PURCHASE BlackRock iShares Oradea #001,Investments,BlackRock iShares
MIGROS Park Lake (RO),Groceries,Migros
PMT POS vila predeal Pipera #001,Travel,Vila Predeal
PMT POS LIDL Bucharest 12345,Groceries,Lidl
Achizitie vulcanizare auto Downtown RID:34521,Transport,Vulcanizare Auto
PMT Garantie chirie Constanta RID:34521,Housing,Garantie chirie
POS Carl's Jr Store 04 12345,Restaurants,Carl's Jr
PMT POS Argint investitie Bucuresti #221,Investments,Argint investitie
Plata cu cardul Enel Romania Baneasa #4321,Utilities,Enel Romania
PURCHASE salariu acme srl Online,Salary,Salariu ACME SRL
PMT POS Curtea Veche Bistro EU #221,Restaurants,Curtea Veche Bistro
GitHub Copilot Center #14,Subscriptions,GitHub Copilot
Plata POS tv cablu romtelecom Bucuresti AUT:887412,Utilities,TV Cablu Romtelecom
Plata cu cardul Engie GazNaturale ROM RO,Utilities,Engie GazNaturale
Plata POS Libraria Humanitas Bucharest,Education,Libraria Humanitas
COURSERA SPECIALIZATION Floreasca RID:34521,Education,Coursera Specialization
Plata POS frontend masters subscription Pipera 12345,Education,Frontend Masters subscription
Plata POS Clinica Polisano Sibiu RO,Health,Clinica Polisano
PMT POS Wizz Air Cluj RID:34521,Travel,Wizz Air
POS Marionnaud Sibiu #221,Other,Marionnaud
Achizitie Hidroelectrica Store 04 #14,Utilities,Hidroelectrica
Audible Downtown RO,Subscriptions,Audible
PMT VIRAMENT SALARIU NET Sibiu (RO),Salary,VIRAMENT SALARIU NET
Plata cu cardul Penny EU #4321,Groceries,Penny
Plata cu cardul Fizioterapie sedinta Galati RID:34521,Health,Fizioterapie sedinta
Plata cu cardul ICLOUD RO RID:34521,Subscriptions,iCloud
Claude.ai EU 12345,Subscriptions,Claude.ai
Fiverr payout Drumul Taberei #14,Salary,Fiverr payout
POS REGINA MARIA Drumul Taberei (RO),Health,Regina Maria
INCASARE DE LA ION Center #14,Transfer,Incasare de la Ion
PURCHASE mcd EU #001,Restaurants,McD
Cumparare Up Card Vitan #001,Other,Up Card
PMT POS Dr. Dent Branch 12 #001,Health,Dr. Dent
PMT BOOKING RO Mall Vitan #4321,Travel,Booking RO
Achizitie DISNEY+ RO Sun Plaza (RO),Subscriptions,Disney+ RO
Administrator bloc 12 Baneasa #221,Housing,Administrator bloc 12
Cumparare Storia.ro listare Branch 12 RO,Housing,Storia.ro listare
Cumparare STEAM STORE Ploiesti,Entertainment,Steam Store
Plata POS ETF VWCE Mall #4321,Investments,ETF VWCE
Plata POS internet la domiciliu Pipera RID:34521,Utilities,Internet la Domiciliu
Cumparare fmi bucuresti Downtown RID:34521,Education,FMI Bucuresti
PMT PROPERTY MANAGER FEES Online #221,Housing,Property Manager fees
PMT Caru' cu Bere Mall Vitan 12345,Restaurants,Caru' cu Bere
POS NETFLIX PREMIUM Drumul Taberei #4321,Subscriptions,Netflix Premium
Cumparare loft cafe AFI Cotroceni #4321,Restaurants,Loft Cafe
PMT POS Salariu luna mai Branch 12 (RO),Salary,Salariu luna mai
Digi Romania Floreasca RID:34521,Utilities,Digi Romania
HOLLYWOOD MULTIPLEX RO #001,Entertainment,Hollywood Multiplex
PMT Uber Eats Downtown,Restaurants,Uber Eats
POS Greggs AFI Cotroceni RID:34521,Restaurants,Greggs
DISNEY PLUS Constanta #221,Subscriptions,Disney Plus
Achizitie Transfer ING to Revolut Cluj #14,Transfer,Transfer ING to Revolut
Transfer in lei Baneasa #001,Transfer,Transfer in lei
PMT POS parking mall Park Lake #14,Transport,Parking Mall
Plata cu cardul 5 to Go Baneasa 12345,Restaurants,5 to Go
PURCHASE Intersport Bucuresti #221,Other,Intersport
Plata POS Evernote Personal Cluj (RO),Subscriptions,Evernote Personal
Cumparare RENT MAY RO AUT:887412,Housing,RENT MAY
Plata cu cardul STATIA ITP Galati RID:34521,Transport,Statia ITP
PMT POS EDX Pipera (RO),Education,edX
Achizitie ETSY PURCHASE Mall Vitan 12345,Other,Etsy purchase
Achizitie OMV PETROLSTATION AFI Cotroceni,Transport,OMV PetrolStation
PURCHASE PENNY ROM #001,Groceries,Penny
POS UNIVERSITATEA CLUJ Oradea AUT:887412,Education,Universitatea Cluj
Cumparare MOL GROUP Iasi,Transport,MOL Group
Bilet Filarmonica Downtown RO,Entertainment,Bilet Filarmonica
Plata cu cardul FOODPANDA Baneasa #001,Restaurants,FoodPanda
Plata POS deepl pro Center #221,Subscriptions,DeepL Pro
PURCHASE DIANA EXPRESS Oradea #001,Groceries,Diana Express
PMT POS Asociatie locatari EU RO,Housing,Asociatie locatari
BlackRock iShares Bucharest AUT:887412,Investments,BlackRock iShares
PMT Festival Untold Bucuresti RO,Entertainment,Festival Untold
Achizitie HARDEE'S Branch 12 RID:34521,Restaurants,Hardee's
PMT POS ALIMENTARA EXPRESS Store 04 AUT:887412,Groceries,Alimentara Express
Plata cu cardul FIGMA PRO Oradea (RO),Subscriptions,Figma Pro
Achizitie DM Park Lake #4321,Groceries,DM
PURCHASE TFL OYSTER Mall RO,Transport,TfL Oyster
TRATTORIA BUONGIORNO Brasov #4321,Restaurants,Trattoria Buongiorno
Achizitie TIM HORTONS Downtown,Restaurants,Tim Hortons
PMT chirie apartament Mall Vitan #4321,Housing,Chirie apartament
Cafenea Origo Timisoara #001,Restaurants,Cafenea Origo
PMT Wish.com RO AUT:887412,Other,Wish.com
Achizitie LIBRARIA DIVERTA Drumul Taberei #4321,Education,Libraria Diverta
POS Decont deplasare Branch 12 (RO),Salary,Decont deplasare
LEROY MERLIN Vitan AUT:887412,Other,Leroy Merlin
PURCHASE Spitalul Coltea Cotroceni RO,Health,Spitalul Coltea
Plata cu cardul Macromex Cotroceni,Groceries,Macromex
Achizitie ASE BUCURESTI Brasov (RO),Education,ASE Bucuresti
Plata POS KLM Cotroceni #221,Travel,KLM
PMT IABILET CONCERT Pipera #221,Entertainment,iaBilet concert
Plata cu cardul COURSERA PLUS ROM RID:34521,Education,Coursera Plus
PMT gold purchase bnr RO #221,Investments,Gold purchase BNR
GITHUB PRO Promenada #4321,Subscriptions,GitHub Pro
Achizitie NIRO MARKET Oradea AUT:887412,Groceries,Niro Market
POS CITIRE CONTOR Oradea AUT:887412,Utilities,Citire contor
POS 5-to-Go Galati RO,Restaurants,5-to-Go
PURCHASE card preplatit up Bucuresti #4321,Other,Card preplatit Up
Plata POS YOUTUBE MUSIC Baneasa RID:34521,Subscriptions,YouTube Music
Achizitie Service Auto Andrei Oradea (RO),Transport,Service Auto Andrei
Achizitie Frontend Masters subscription Galati 12345,Education,Frontend Masters subscription
Plata cu cardul Vietnam Restaurant Timisoara #001,Restaurants,Vietnam Restaurant
PURCHASE ENGIE ROMANIA Sun Plaza (RO),Utilities,Engie Romania
Cumparare EDX MICROSOFT Ploiesti RO,Education,edX Microsoft
PMT POS ALIEXPRESS ORDER Promenada #14,Other,Aliexpress order
Cumparare DENTIST BRILLIANT RO AUT:887412,Health,Dentist Brilliant
POS LEM'S MOBILIER Baneasa (RO),Other,Lem's mobilier
PMT POS Electrician apartament Pipera #4321,Housing,Electrician apartament
Plata cu cardul FreeNow Online,Transport,FreeNow
PURCHASE El Torito Mexican Baneasa RID:34521,Restaurants,El Torito Mexican
POS LC Waikiki Constanta #221,Other,LC Waikiki
Cumparare Kika mobilier RO #4321,Other,Kika mobilier
datacamp Constanta #4321,Education,DataCamp
Plata POS beraria h Ploiesti AUT:887412,Restaurants,Beraria H
POS Airbnb Downtown RID:34521,Travel,Airbnb
Achizitie XPRESS MARKET Bucuresti #221,Groceries,XPRESS Market
Onorariu consultanta Vitan,Salary,Onorariu consultanta
PMT SUPERMARKET LOCAL Ploiesti,Groceries,Supermarket Local
PMT POS carturesti Constanta RO,Education,Carturesti
PMT rent june Sun Plaza #221,Housing,RENT JUNE
PMT Stripe internal transfer Park Lake #221,Transfer,Stripe internal transfer
Plata cu cardul storia.ro listare Bucharest #4321,Housing,Storia.ro listare
Plata POS Lidl Floreasca #221,Groceries,Lidl
Plata cu cardul COOP Mall Vitan RID:34521,Groceries,Coop
Plata POS FIVE GUYS Park Lake RID:34521,Restaurants,Five Guys
PMT HERTZ RENT A CAR Mall,Travel,Hertz Rent a Car
Achizitie PENSIUNE BRAN Bucharest,Travel,Pensiune Bran
Achizitie PENSIE FACULTATIVA NN Baneasa #14,Investments,Pensie facultativa NN
Achizitie Trattoria il Calcio RO (RO),Restaurants,Trattoria il Calcio
Plata POS asigurare apartament Store 04 #221,Housing,Asigurare apartament
Termoficare CET Aviatorilor #14,Utilities,Termoficare CET
PMT PAYROLL MAY 2026 Online RO,Salary,Payroll May 2026
POS BINANCE SPOT EU #4321,Investments,Binance Spot
PURCHASE td ameritrade Store 04 #14,Investments,TD Ameritrade
PMT REPARATII INSTALATIE SANITARA Online AUT:887412,Housing,Reparatii instalatie sanitara
POS transfer cont curent Store 04 AUT:887412,Transfer,Transfer cont curent
frontendmasters Bucuresti RID:34521,Education,FrontendMasters
TAXI CRIS Pipera,Transport,Taxi Cris
POS Fond mutual NN Branch 12 (RO),Investments,Fond mutual NN
PMT AU BON PAIN Center #4321,Restaurants,Au Bon Pain
Plata POS brutaria paul Timisoara AUT:887412,Groceries,Brutaria Paul
PURCHASE SYNEVO LABS Pipera RO,Health,Synevo Labs
PURCHASE Transfer Revolut to BCR Center 12345,Transfer,Transfer Revolut to BCR
Achizitie PRAKTIKER Drumul Taberei (RO),Other,Praktiker
Plata cu cardul WISE TRANSFER Sibiu (RO),Transfer,Wise transfer
Achizitie TAXI COBALCESCU Constanta,Transport,Taxi Cobalcescu
PMT PAYROLL APRIL 2026 Cluj RO,Salary,Payroll April 2026
PMT POS obb austria Center #14,Transport,OBB Austria
Achizitie METROREX ABONAMENT Mall Vitan #221,Transport,Metrorex Abonament
Cumparare auchan drive Oradea #4321,Groceries,Auchan Drive
Plata POS evernote personal Ploiesti,Subscriptions,Evernote Personal
Cumparare Etihad Airways ROM RO,Travel,Etihad Airways
cabinet cardiologie Sibiu #001,Health,Cabinet Cardiologie
Plata POS BROKER BT CAPITAL Online #4321,Investments,Broker BT Capital
PMT VANGUARD ETF Iasi,Investments,Vanguard ETF
Cumparare BURSA DE STUDII Mall #14,Education,Bursa de studii
SHELL ROMANIA ROM RID:34521,Transport,Shell Romania
PMT POS taxi cobalcescu EU,Transport,Taxi Cobalcescu
PMT POS rata ipoteca Brasov #14,Housing,Rata ipoteca
Cumparare Factura curent Branch 12 #14,Utilities,Factura curent
Plata cu cardul enel*fact Promenada #001,Utilities,ENEL*FACT
PMT POS DENTIST BRILLIANT RO RO,Health,Dentist Brilliant
PMT POS MasterClass course Mall Vitan RO,Education,MasterClass course
Plata POS Engie GazNaturale Aviatorilor RID:34521,Utilities,Engie GazNaturale
Achizitie KRAKEN BUY ROM #001,Investments,Kraken buy
PMT Intersport Store 04,Other,Intersport
PMT SEPHORA Mall Vitan RO,Other,Sephora
Plata cu cardul EVERNOTE PERSONAL AFI Cotroceni,Subscriptions,Evernote Personal
PURCHASE Ryanair Bucharest AUT:887412,Travel,Ryanair
PMT POS transfer bcr to ing Drumul Taberei #001,Transfer,Transfer BCR to ING
Achizitie trading 212 invest Aviatorilor AUT:887412,Investments,Trading 212 Invest
PMT POS Linear App Drumul Taberei (RO),Subscriptions,Linear App
Plata cu cardul Brilliant.org Pipera #14,Education,Brilliant.org
POS Lime Scooter Sun Plaza (RO),Transport,Lime Scooter
Plata POS decont 7card Ploiesti #4321,Salary,Decont 7Card
